BatchName,Semester,Courses[]
MATH-B-2024,3,MATH301;MATH302;PHYS202;CS201;ECON101;NaN;NaN;NaN
MATH-C-2024,3,MATH301;MATH302;PHYS202;CS201;ECON101;NaN;NaN;NaN
MATH-A-2024,4,MATH401;PHYS301;CS301;ENG201;HIST202;NaN;NaN;NaN
MATH-B-2024,4,MATH401;PHYS301;CS301;ENG201;HIST202;NaN;NaN;NaN
MATH-C-2024,4,MATH401;PHYS301;CS301;ENG201;HIST202;NaN;NaN;NaN
PHYS-A-2024,1,PHYS101;MATH201;CHEM101;ENG101;CS101;STAT201;NaN;NaN
PHYS-B-2024,1,PHYS101;MATH201;CHEM101;ENG101;CS101;STAT201;NaN;NaN
PHYS-C-2024,1,PHYS101;MATH201;CHEM101;ENG101;CS101;STAT201;NaN;NaN
PHYS-A-2024,2,PHYS201;PHYS202;MATH202;CHEM201;HIST201;NaN;NaN;NaN
PHYS-B-2024,2,PHYS201;PHYS202;MATH202;CHEM201;HIST201;NaN;NaN;NaN
PHYS-C-2024,2,PHYS201;PHYS202;MATH202;CHEM201;HIST201;NaN;NaN;NaN
PHYS-A-2024,3,PHYS301;PHYS302;MATH203;CHEM202;ECON101;NaN;NaN;NaN
PHYS-B-2024,3,PHYS301;PHYS302;MATH203;CHEM202;ECON101;NaN;NaN;NaN
PHYS-C-2024,3,PHYS301;PHYS302;MATH203;CHEM202;ECON101;NaN;NaN;NaN
ECON-A-2024,1,ECON101;MATH201;ENG101;HIST201;STAT201;PHIL101;NaN;NaN
ECON-B-2024,1,ECON101;MATH201;ENG101;HIST201;STAT201;PHIL101;NaN;NaN
ECON-C-2024,1,ECON101;MATH201;ENG101;HIST201;STAT201;PHIL101;NaN;NaN
ECON-A-2024,2,ECON201;ECON202;MATH202;HIST202;PSYCH101;NaN;NaN;NaN
ECON-B-2024,2,ECON201;ECON202;MATH202;HIST202;PSYCH101;NaN;NaN;NaN
ECON-C-2024,2,ECON201;ECON202;MATH202;HIST202;PSYCH101;NaN;NaN;NaN
ECON-A-2024,3,ECON301;MATH203;POL201;SOC201;ENG201;NaN;NaN;NaN
ECON-B-2024,3,ECON301;MATH203;POL201;SOC201;ENG201;NaN;NaN;NaN
ECON-C-2024,3,ECON301;MATH203;POL201;SOC201;ENG201;NaN;NaN;NaN
